id	priority	repository	state	scope	title	evidence	owner_route	closure_condition
META-AUD-01	P2	meta	SOURCE_REPAIRED_TESTED	governance	Branch and workspace isolation combined identity	META-153 | Current routing rejects combined identity and separates branch/worktree uniqueness; META routing suite exit 0.	Oteryn/Oteryn#153; evidence continuation #186	Retain independent branch/worktree negative controls.
META-AUD-02	P2	meta	PARTIALLY_REPAIRED	governance	Release-manifest structural and authenticity gap	META-153 | Current Draft202012 validation checks schema, identity and status. Actual validator reports 0 release manifests and provider evidence NOT_AUTHENTICATED.	Oteryn/Oteryn#153; evidence continuation #186	Qualify the first real release and authenticate exact provider evidence; structural PASS alone is insufficient.
META-AUD-03	P2	meta	RETIRED_SOURCE	governance	Orphan retired AI review compatibility code	META-153 | Legacy compatibility script and test paths are absent in the exact current tree. Retired review framework must not be revived.	Oteryn/Oteryn#153; evidence continuation #186	Keep deletion and consuming-policy retirement coherent; absence is not a security scan.
META-AUD-04	P2	meta	SOURCE_REPAIRED_TESTED	governance	Tests enforcing copied policy prose	META-153 | Current v3 routing and central policy validation replace the identified copied-controller pattern; relevant META checks exit 0.	Oteryn/Oteryn#153; evidence continuation #186	Preserve thin bootstraps and verify actual instruction delivery on provider adoption.
META-AUD-05	P2	meta	PARTIALLY_REPAIRED	governance	Historical authority and merge-up conflict	META-153 | Current access policy separates MQ candidate refresh from source-head churn. Historical/open PR authority liveness is not exhaustively revalidated.	Oteryn/Oteryn#153; evidence continuation #186	Classify remaining operative-looking documents/PRs against current v3 authority without deleting historical evidence.
META-PR151-02	P2	meta	SOURCE_REPAIRED	governance	Missing durable R5 reproduction	META-153 | Current instruction-debt-r5-reproduction directory contains script, results and manifest for its original source generation.	Oteryn/Oteryn#153; evidence continuation #186	Use the recorded original source identities; do not recast old reproduction as current provider failure.
META-AUD-07	P2	meta	SOURCE_REPAIRED_TESTED	governance	Hardcoded python3 portability	META-153 | Current bounded guard test invokes sys.executable; 21 Linux tests passed.	Oteryn/Oteryn#153; evidence continuation #186	Run the corresponding supported Windows job before asserting a current Windows qualification.
META-AUD-08	P2	meta	UNKNOWN_LIVE	governance	Private vulnerability reporting setting	META-153 | Historical disabled observation is not a current admin-state read.	Oteryn/Oteryn#153; evidence continuation #186	Authorized owner supplies dated nonsecret current setting and a verified private reporting channel.
META-AUD-09	P2	meta	UNKNOWN_LIVE	governance	Code scanning coverage	META-153 | Current META source has two workflows and no CodeQL workflow. Default setup/external scans are not established.	Oteryn/Oteryn#153; evidence continuation #186	Record current scan capability, scope, excluded languages, findings and triage evidence; no zero-CVE assertion.
META-AUD-10	P2	meta	SOURCE_REPAIRED_TESTED	governance	Empty governance scope accepted	META-153 | Current validate_desired_state rejects an empty repository scope. Relevant META controls pass.	Oteryn/Oteryn#153; evidence continuation #186	Keep empty-scope mutation control in the validator suite.
META-AUD-11	P2	meta	SOURCE_REPAIRED_TESTED	governance	Boolean/integer policy type drift	META-153 | Current shared desired-state validator uses strict field types; CI consumes the same validation.	Oteryn/Oteryn#153; evidence continuation #186	Retain cross-consumer true-versus-1 rejection controls.
META-AUD-06	P3	meta	REQUIRES_REVALIDATION	governance	Continuation capability/profile coupling	META-153 | Historical recommendation retained; current continuation tests pass but a full semantic decoupling review is not claimed.	Oteryn/Oteryn#153; evidence continuation #186	Resolve against current machine policy with capability/profile test matrix, or explicitly disposition as design debt.
META-PR151-01	P3	meta	REQUIRES_REVALIDATION	governance	Alias scope ranges drift	META-153 | Historical low-risk prompt range inconsistency is retained rather than silently marked repaired.	Oteryn/Oteryn#153; evidence continuation #186	Match alias invocation to current prompt sections and validate one representative dispatch.
META-PR145-01	P3	meta	REQUIRES_LIVE_REVALIDATION	governance	Stale PR body coordinate	META-153 | Historical PR-body mismatch does not prove current mismatch.	Oteryn/Oteryn#153; evidence continuation #186	Read exact current PR #145 disposition and correct/supersede only operative metadata.
GAME-F01	P1	game	SOURCE_REPAIRED_RECORDED_CI	CURRENT_GATE	Grouped Windows native commands can mask an earlier failure	GAME-360 | Issue #364 comment 5575092954 binds #396/#411, exact gate blob and MQ run 34155914624. Fresh native nine-layer replay was not repeated.	owning product/control-plane allocation; this audit grants no repair lease	A canary failing each non-final command makes the job and aggregate fail; success controls stay green.
GAME-F02	P2	game	SOURCE_REPAIRED_RECORDED_CI	CURRENT_GATE	Lifecycle test suite raises three setup errors and is absent from canonical execution	GAME-360 | Same WP1 closeout records real lifecycle discovery and injected-negative propagation; unchanged wrapper filename alone does not invalidate the repaired loader/workflow.	owning product/control-plane allocation; this audit grants no repair lease	All three original cases execute their bodies and pass, and an intentionally failing discovered test fails the owning CI job.
GAME-F03	P2	game	SOURCE_REPAIRED_TESTED	CURRENT_GATE	Legacy semantic audit selects only three exact file sets	GAME-360 | Current dispatcher selects every intersecting profile and continues after a profile failure; 37 current source-oracle/dispatcher tests passed.	owning product/control-plane allocation; this audit grants no repair lease	An unrelated additive file cannot suppress an applicable semantic check; current source changes have an intentionally defined disposition.
GAME-F04	P2	game	OPEN_QUALIFICATION	NEXT_GATE	Library bootstrap and executable client have separate composition roots	GAME-360 | Executable/library composition remains a G1 obligation, not resolved by the shell error-handling change.	owning product/control-plane allocation; this audit grants no repair lease	A scenario follows input through the real production composition, and shutdown/cancellation/errors are exercised through the same controller.
GAME-F05	P2	game	SOURCE_REPAIRED	NEXT_GATE	Native release exits successfully after OS minimization	GAME-360 | Inspected current shell delta: configured-only redraw, retained first fatal error, failure return and lifecycle handling. No new Windows native qualification.	owning product/control-plane allocation; this audit grants no repair lease	Exact release stays alive while minimized, restores and presents, closes normally, and returns a nonzero error for genuine fatal initialization/presentation failures; record actual artifact and adapter scope.
GAME-F06	P2	game	SOURCE_REPAIRED	NEXT_GATE	PKCE helper accepts an overlong verifier	GAME-360 | Current PKCE accepts 32..96 entropy bytes, rejects 31/97 and includes exact 43/128-character boundary tests; native tests not rerun here.	owning product/control-plane allocation; this audit grants no repair lease	31-byte input rejects; 32 and 96 accept with lengths 43 and 128; 97 rejects. Use actual Rust tests, not a Python approximation.
GAME-F07	P2	game	OPEN_INHERITED	NEXT_GATE	Protection CHECK admits a NULL-valued expiry predicate	GAME-360 | Affected source identities were compared with the historical publication; no current repair/qualification is established. Preserve the bounded historical finding, not a claim of live exploit.	owning product/control-plane allocation; this audit grants no repair lease	Full owning schema rejects invalid null combinations, accepts valid states, and migrations/old records/reload are qualified with PostgreSQL.
GAME-F08	P2	game	OPEN_INHERITED	CURRENT_GATE	Two PostgreSQL test helpers enforce different connection guards	GAME-360 | Affected source identities were compared with the historical publication; no current repair/qualification is established. Preserve the bounded historical finding, not a claim of live exploit.	owning product/control-plane allocation; this audit grants no repair lease	Actual PgConnectOptions negative cases cover userinfo/path confusion, override variables and safe positive controls without connecting outside loopback.
GAME-F09	P2	game	REQUIRES_REVALIDATION	CURRENT_GATE	Reusable coordinator requires an active task path that was archived	GAME-360 | Prompt changed since the audit; do not carry the old stale-task finding forward or close it without current dispatch reconciliation.	owning product/control-plane allocation; this audit grants no repair lease	The reusable entry point can resolve the active programme without reading a missing path or treating archived status as current.
GAME-F10	P3	game	PARTIALLY_REPAIRED	CURRENT_GATE	Retired review rules and duplicated routing remain in reusable prompts	GAME-360 | Legacy CODEX_REVIEW_POLICY.json is absent and current v3 binding exists. This does not certify all historical prompt text or actual client loading.	owning product/control-plane allocation; this audit grants no repair lease	Representative task cases preserve safety and reduce needless reading/approval loops; no token-saving percentage without actual measurement.
GAME-F11	P2	game	SOURCE_REPAIRED	NEXT_GATE	Workspace checker does not validate declared paths against manifest paths	GAME-360 | Current checker compares exact package-name to manifest-directory mapping; source and negative-test changes inspected, Rust runtime not available.	owning product/control-plane allocation; this audit grants no repair lease	A same-cardinality wrong path fails; real metadata passes; forbidden production-to-fixture and cycle controls remain enforced.
GAME-F12	P2	game	OPEN_INHERITED	NEXT_GATE	Semantic-search exporter workflow omits a consumed exporter path	GAME-360 | Affected source identities were compared with the historical publication; no current repair/qualification is established. Preserve the bounded historical finding, not a claim of live exploit.	owning product/control-plane allocation; this audit grants no repair lease	A change to the consumed exporter runs downstream semantic qualification; unrelated docs do not force needless full data jobs.
GAME-F13	P2	game	OPEN_INHERITED	NEXT_GATE	Canonical Windows smoke does not execute its preceding release build	GAME-360 | Affected source identities were compared with the historical publication; no current repair/qualification is established. Preserve the bounded historical finding, not a claim of live exploit.	owning product/control-plane allocation; this audit grants no repair lease	A tested digest equals the released artifact digest; release-server/client smoke and packaging checks use those files.
GAME-F14	NOTE	game	HISTORICAL_NOTE	CURRENT_GATE	Raw LLVM totals are not a clean whole-product coverage denominator	GAME-360 | Original assessment calibrated this to NOTE: test-inclusive LLVM coverage is not a production branch-coverage denominator.	owning product/control-plane allocation; this audit grants no repair lease	No unexplained mapping warnings, explicit production denominator and platform coverage; uncovered or uninstantiated code cannot disappear from the report.
GAME-F15	P3	game	OPEN_INHERITED	NEXT_GATE	Appearance index helper can be called without companion integrity verification	GAME-360 | Affected source identities were compared with the historical publication; no current repair/qualification is established. Preserve the bounded historical finding, not a claim of live exploit.	owning product/control-plane allocation; this audit grants no repair lease	Consumer-facing negative tests reject changed products, stale path-cache content and integer overflow while valid pinned/synthetic products remain accepted.
GAME-F16	P3	game	REQUIRES_LIVE_REVALIDATION	CURRENT_GATE	CODEOWNERS commentary overstates enforced review requirements	GAME-360 | Historical approval/CODEOWNERS policy wording discrepancy requires current intended policy and live configuration, not a blanket new human approval gate.	owning product/control-plane allocation; this audit grants no repair lease	Documentation matches actual ruleset and current META governance without adding a retired AI gate or unapproved reviewer requirement.
GAME-F17	NOTE	game	OPEN_QUALIFICATION	NEXT_GATE	Fixture semantics and component success are not production gameplay integration	GAME-360 | Fixture success is not native real-producer gameplay, reconnect and durable restart qualification.	owning product/control-plane allocation; this audit grants no repair lease	One real client-server-durable-result-reconnect journey passes through production boundaries; no fixture is promoted to live authority.
GAME-F18	P2	game	SOURCE_REPAIRED	NEXT_GATE	AI uniqueness check misses priority-separated duplicate candidate IDs	GAME-360 | Current perception checks duplicate candidate IDs before priority sorting, so the original separated-duplicate error is removed at source level.	AI lane under Game control-plane allocation	All six non-adjacent-duplicate permutations reject; unique candidates preserve canonical rank; limits and valid adjacent controls remain covered.
GAME-F19	P2	game	SOURCE_REPAIRED	NEXT_GATE	Direct public effect variants bypass positive magnitude validation	GAME-360 | Current plan and fixture commit validate positive magnitudes, including direct public variants; tests are present but native execution was not repeated.	Ability lane under Game control-plane allocation	Zero/negative direct Damage and Heal variants reject before effects; positive controls pass; atomic and sequential paths cannot partially mutate on rejection.
GAME-F20	P1	game	CONFIRMED_SOURCE	current_main	Merged complete early-terminal bridge violates accepted PREPARE phase	GAME-360 | Original three source blobs match the current source cut; inspected lines 4281-4338, 2300-2314 and accepted contract 181-239 show predecessor PREPARE projection and original commit mutation in COMMIT. Additive bridge remains unactivated; no production incident alleged.	Foundation #353 / repair PR #361; Durability #329 consumes corrected contract	Before integration, exact successor/claims and predecessor fencing exist at PREPARE with no transport activation; COMMIT alone activates generation/proof/protection; original receipt remains immutable. Independently sourced phase, replay/reload/lost-response/old-predecessor negatives and exact-head canonical qualification must pass.
PLATFORM-F01	P1	platform	CONFIRMED_SOURCE	current_main	Required exact-candidate fan-in is incomplete	PLATFORM-1294 | Current ci.yml aggregate covers classification/test, not separate Gateway/concurrency qualification. Gateway has no merge_group trigger.	Oteryn/Oteryn-Platform#451; audit #1294	One impact-to-profile contract selects PR/MQ jobs; aggregate rejects required missing, failed, cancelled or unjustified-skipped profiles.
PLATFORM-F02	P1	platform	CONFIRMED_SOURCE	current_main	Email change lacks durable per-message delivery	PLATFORM-1294 | RequestIdentityEmailChange commits operation/security state before sending verification and old-address notifications. Mail failure injection was not executed.	Oteryn/Oteryn-Platform#451; audit #1294	Transactional outbox/equivalent persists each delivery intent with idempotency, retry/backoff, terminal state and restart/expiry/revocation tests.
PLATFORM-F03	P2	platform	CONFIRMED_SOURCE	phase_aware	Gateway request-body read deadline	PLATFORM-1294 | Server has ReadHeaderTimeout, WriteTimeout and IdleTimeout, but no ReadTimeout in current main.go. Impact depends on actual ingress controls.	Oteryn/Oteryn-Platform#451; audit #1294	Bound complete body reads and test stalled/chunked bodies with bounded memory and deadlines.
PLATFORM-F04	P2	platform	OPEN_INHERITED	phase_aware	Image/build reproducibility and provenance	PLATFORM-1294 | Historical image/system input pinning concern retained; source build composition changed and full hermetic rebuild was not executed.	Oteryn/Oteryn-Platform#451; audit #1294	Pin intended build inputs, record SBOM/provenance and demonstrate reproducibility or explicitly scoped variance.
PLATFORM-F05	P2	platform	CONFIRMED_SOURCE	phase_aware	Coverage baseline is report-only	PLATFORM-1294 | CI_COVERAGE_POLICY has report_only, null minimum and UNKNOWN baseline; this is assurance debt, not proof of bad tests.	Oteryn/Oteryn-Platform#451; audit #1294	Measure representative baseline first, then approve meaningful thresholds without arbitrary blanket 100% coverage.
PLATFORM-F06	P2	platform	REQUIRES_LIVE_REVALIDATION	phase_aware	Stale instruction adoption PR dependencies	PLATFORM-1294 | Older Platform1267/1270 references require live closure/supersession evidence; current v3 binding alone does not resolve every old PR.	Oteryn/Oteryn-Platform#451; audit #1294	Reconcile existing PR ownership and label old authority as historical; no duplicate migration.
PLATFORM-F07	P2	platform	PARTIALLY_REPAIRED	phase_aware	Parallel-first versus current execution routing	PLATFORM-1294 | Current bootstrap/binding adopts thin v3 authority; actual agent delivery and all routed remnants are not exhaustively qualified.	Oteryn/Oteryn-Platform#451; audit #1294	Qualify representative single-agent and beneficial-parallel tasks through the actual client, retaining current safe access routing.
